epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202053,X,US,-22.285714285714285,-9.142857142857142,-12.857142857142858,-40.57142857142857,-42.714285714285715,14.285714285714286,111218.0,738.0,0.0,0.0,19.9,234688.0,53822.333333333336,355267.0,18734.0,20671289.0,1500256.0,8986338.0,1591956.0,10615242.0
202101,X,US,-23.0,-10.571428571428571,-22.857142857142858,-38.57142857142857,-27.857142857142858,11.142857142857142,117582.0,665.0,0.0,0.0,20.8,233667.66666666663,51802.333333333336,377500.0,22233.0,22404987.0,1733698.0,11053150.0,1758490.0,12852535.0
202102,X,US,-24.857142857142858,-12.571428571428571,-20.857142857142858,-40.0,-28.0,10.714285714285714,109775.0,660.0,0.0,0.0,18.5,234914.0,51827.66666666666,400953.0,23453.0,23966937.0,1561950.0,11071049.0,1454636.0,12564304.0
202103,X,US,-25.142857142857142,-13.714285714285714,-18.142857142857142,-41.142857142857146,-29.571428571428573,10.714285714285714,96408.0,545.0,0.0,0.0,15.9,225748.3333333333,43538.66666666666,422712.0,21759.0,25189928.0,1222991.0,10640233.0,1183919.0,11866461.0
202104,X,US,-26.0,-14.428571428571429,-26.285714285714285,-41.42857142857143,-27.571428571428573,10.571428571428571,82343.0,593.0,0.0,0.0,13.3,215593.3333333333,34052.0,444589.0,21877.0,26246731.0,1056803.0,10291085.0,987655.0,11316967.0
202105,X,US,-24.285714285714285,-12.714285714285714,-23.0,-40.857142857142854,-27.857142857142858,10.428571428571429,70684.0,516.0,0.0,0.0,11.5,210843.66666666663,28571.666666666668,465975.0,21386.0,27098497.0,851766.0,9788065.0,779723.0,10597847.0
202106,X,US,-25.285714285714285,-11.0,-28.0,-40.0,-28.142857142857142,10.571428571428571,57392.0,482.0,0.0,0.0,8.8,199320.3333333333,18886.0,483536.0,17561.0,27758386.0,659889.0,8533516.0,583467.0,9135726.0
202107,X,US,-28.0,-14.428571428571429,-27.714285714285715,-42.0,-34.714285714285715,13.0,47089.0,481.0,41186317.0,0.0,7.8,196067.0,15473.0,496669.0,13133.0,28232214.0,473828.0,7546790.0,427409.0,7988494.0
202108,X,US,-17.714285714285715,-9.428571428571429,-10.428571428571429,-34.142857142857146,-24.857142857142858,8.714285714285714,42497.0,498.0,46146289.0,0.0,7.1,189890.66666666663,10762.333333333334,510623.0,13954.0,28715277.0,483063.0,8742458.0,441061.0,9199121.0
202109,X,US,-15.0,-6.857142857142857,-6.714285714285714,-32.57142857142857,-24.714285714285715,7.714285714285714,36181.0,466.0,54389604.0,28100810.0,6.2,182820.0,5891.333333333333,522624.0,12001.0,29139278.0,424001.0,8622025.0,378723.0,9014031.0
202110,X,US,-13.285714285714286,-5.428571428571429,6.285714285714286,-30.285714285714285,-25.142857142857142,7.285714285714286,33833.0,425.0,64566896.0,34233654.0,6.4,178325.33333333334,3084.333333333333,531272.0,8648.0,29519475.0,380197.0,8265454.0,363132.0,8641157.0
202111,X,US,-9.428571428571429,-4.571428571428571,0.5714285714285714,-27.857142857142858,-26.285714285714285,7.285714285714286,32958.0,416.0,75615317.0,41021283.0,7.0,174781.33333333334,1019.3333333333334,538365.0,7093.0,29905932.0,386457.0,8046232.0,370303.0,8428458.0
202112,X,US,-8.428571428571429,-4.142857142857143,13.857142857142858,-25.857142857142858,-24.571428571428573,6.571428571428571,34382.0,385.0,87694806.0,47644860.0,8.1,176471.66666666666,2659.0,545339.0,6974.0,30337689.0,431757.0,8110921.0,420424.0,8544690.0
202113,X,US,-6.428571428571429,0.8571428571428571,13.571428571428571,-25.857142857142858,-27.428571428571427,6.714285714285714,35964.0,369.0,99698927.0,56762400.0,8.7,170374.66666666666,463.0,551128.0,5789.0,30797601.0,459912.0,7983160.0,453631.0,8452691.0
202114,X,US,-9.571428571428571,-2.857142857142857,27.571428571428573,-24.428571428571427,-27.285714285714285,5.714285714285714,38741.0,442.0,112127275.0,66824117.0,10.1,177206.33333333334,4782.333333333333,558015.0,6887.0,31277485.0,479884.0,8158787.0,469182.0,8645838.0
202115,X,US,-8.428571428571429,-3.142857142857143,16.0,-25.571428571428573,-24.571428571428573,6.0,39830.0,417.0,125107946.0,78969973.0,10.2,171756.33333333334,2234.0,563048.0,5033.0,31756060.0,478575.0,8415380.0,467752.0,8896185.0
202116,X,US,-8.714285714285714,-2.5714285714285716,20.714285714285715,-24.571428571428573,-24.0,6.142857142857143,37720.0,493.0,134275565.0,89301185.0,9.2,174740.0,5359.333333333333,568083.0,5035.0,32169915.0,413855.0,8256263.0,402341.0,8670252.0
202117,X,US,-7.428571428571429,-0.8571428571428571,28.857142857142858,-23.285714285714285,-24.142857142857142,5.428571428571429,34180.0,425.0,141676220.0,99317907.0,8.1,173985.33333333334,5676.0,572960.0,4877.0,32519110.0,349195.0,7931306.0,352033.0,8294159.0
202118,X,US,-5.571428571428571,3.2857142857142856,26.571428571428573,-22.142857142857142,-23.857142857142858,4.857142857142857,30748.0,344.0,146935397.0,108540762.0,7.7,171770.0,4910.0,577650.0,4690.0,32812707.0,293597.0,7342168.0,282532.0,7633385.0
202119,X,US,-6.142857142857143,2.857142857142857,33.57142857142857,-20.714285714285715,-24.428571428571427,4.714285714285714,26231.0,321.0,151577437.0,117730423.0,6.1,170372.33333333334,4570.666666666667,581663.0,4013.0,33049457.0,236750.0,6797552.0,220809.0,7025869.0
